	1	2	3	4	6	7	8	9	10	11	13	14	15	17	19	20	21	22	27	28	29	30	32	33	35	36	37	38	248	252
1					1,11		1				1,11			1		11					1		1,11	11					1		
2	1													1							1	1	1						1		
3	1,11										1					1		1,11					1								
4	11				11	11													11	11										11	
6	1,11,11						1	1,11			1	1,11				1,11			11		1,11	11								11	
7						11													11,11,11												
8																															
9																															
10	1,11				1						1			1	1	1					1	1,11	1,11							11	
11	1										1											1									
13	1,11				1									1		1					1	1	1								
14					1,11																1									11,11	
15							1							1,11					1,11	1,11											
17							1				1		11		1,11	1				1,11	1,11	1,11	1								
19							1							1,11		1				1,11	11	1,11									
20	11,11				1,11						1			1	1			1			1,11	1,11	1								
21	11										1					1		1,11			1	1,11	1								
22																11															
27					11	11							1																	11	
28																															
29	1				1,11						1	1		1,11	1,11	1,11						1,11	1								
30					1,11						1			1,11	1,11	1,11				1,11	1,11		1							11	
32	1,11				1						1			1		1					1			11				1,11			
33	11																						11					1,11			
35																							1			1	1				
36																											1,11				
37																							1			1,11,11					
38																							1,11	1,11							
248	1																														
252					11							11							11		11	11									
